Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
ZPZ,Primary industries,2014Q1,11316,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2014Q2,11179,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2014Q3,11126,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2014Q4,11118,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q1,11064,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q2,11089,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q3,11061,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q4,11033,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q1,10941,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q2,10874,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q3,10888,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q4,10885,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q1,10815,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q2,10842,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q3,10983,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q4,11015,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q1,10884,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q2,10918,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q3,11092,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q4,11029,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q1,11220,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q2,11168,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q3,10899,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q4,10979,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q1,11081,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q2,10897,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q3,10956,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q4,11009,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q1,11003,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q2,11030,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q3,10887,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q4,10947,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2014Q1,10900,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2014Q2,10776,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2014Q3,10736,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2014Q4,10733,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2015Q1,10668,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2015Q2,10649,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2015Q3,10625,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2015Q4,10611,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2016Q1,10536,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2016Q2,10507,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2016Q3,10500,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2016Q4,10521,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2017Q1,10456,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2017Q2,10478,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2017Q3,10622,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2017Q4,10626,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2018Q1,10513,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2018Q2,10550,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2018Q3,10754,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2018Q4,10697,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2019Q1,10874,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2019Q2,10806,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2019Q3,10540,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2019Q4,10628,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2020Q1,10750,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2020Q2,10620,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2020Q3,10649,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2020Q4,10707,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2021Q1,10697,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2021Q2,10708,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2021Q3,10597,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2021Q4,10638,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2014Q1,407,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2014Q2,398,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2014Q3,408,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2014Q4,380,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q1,389,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q2,427,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q3,446,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q4,424,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q1,403,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q2,363,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q3,398,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q4,363,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2017Q1,356,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2017Q2,360,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2017Q3,364,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2017Q4,394,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q1,375,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q2,360,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q3,341,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q4,332,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q1,350,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q2,351,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q3,355,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q4,357,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2020Q1,339,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2020Q2,271,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2020Q3,309,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2020Q4,306,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2021Q1,311,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2021Q2,309,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2021Q3,292,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2021Q4,315,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2014Q1,5130,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2014Q2,5423,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2014Q3,5445,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2014Q4,5605,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2015Q1,5594,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2015Q2,5275,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2015Q3,5198,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2015Q4,5168,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2016Q1,5119,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2016Q2,5086,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2016Q3,4954,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2016Q4,4562,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2017Q1,4823,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2017Q2,5204,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2017Q3,5106,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2017Q4,5313,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q1,4937,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q2,4974,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q3,5095,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q4,5369,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q1,5540,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q2,5271,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q3,5347,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
