Semente,Lado,Porcentagem de Branco,Porcentagem de Branco Leitoso,Porcentagem de Vermelho Carmim Claro,Porcentagem de Vermelho Carmim Escuro,Quantidade de Buracos,Área Buraco/Área Semente
1,interno,48.97%,0.24%,70.72%,22.32%,0,0.00%
1,externo,0.66%,0.10%,37.82%,93.65%,0,0.00%
2,interno,67.89%,0.26%,56.64%,6.71%,0,0.00%
2,externo,0.44%,0.53%,86.12%,82.21%,0,0.00%
3,interno,61.65%,0.40%,49.91%,13.80%,0,0.00%
3,externo,0.18%,0.08%,44.52%,93.60%,0,0.00%
4,interno,55.90%,0.29%,65.50%,20.81%,0,0.00%
4,externo,0.01%,0.03%,47.66%,89.83%,0,0.00%
5,interno,21.59%,0.27%,82.74%,41.99%,0,0.00%
5,externo,0.20%,0.37%,65.57%,88.78%,0,0.00%
6,interno,56.15%,0.52%,67.99%,12.65%,0,0.00%
6,externo,0.18%,0.35%,65.37%,87.43%,0,0.00%
7,interno,46.33%,0.57%,71.10%,25.63%,0,0.00%
7,externo,3.06%,0.38%,36.59%,91.73%,0,0.00%
8,interno,47.77%,0.39%,67.44%,32.35%,0,0.00%
8,externo,0.07%,0.22%,32.64%,93.55%,0,0.00%
9,interno,51.37%,0.72%,72.25%,20.93%,0,0.00%
9,externo,0.00%,0.48%,44.82%,92.09%,0,0.00%
10,interno,61.83%,0.81%,53.34%,14.60%,0,0.00%
10,externo,0.42%,0.28%,38.40%,92.91%,0,0.00%
11,interno,61.24%,0.47%,65.57%,13.01%,0,0.00%
11,externo,0.10%,0.11%,42.39%,91.86%,0,0.00%
12,interno,67.94%,0.41%,52.99%,7.94%,0,0.00%
12,externo,0.04%,0.22%,60.46%,93.69%,0,0.00%
13,interno,43.44%,0.56%,77.80%,24.41%,0,0.00%
13,externo,6.07%,0.18%,51.32%,84.43%,0,0.00%
14,interno,49.63%,0.37%,75.77%,22.14%,0,0.00%
14,externo,3.10%,0.54%,53.46%,88.89%,0,0.00%
15,interno,63.28%,0.55%,61.30%,12.13%,0,0.00%
15,externo,0.54%,0.21%,35.53%,92.00%,0,0.00%
16,interno,53.40%,0.40%,67.42%,16.61%,0,0.00%
16,externo,0.22%,0.70%,69.79%,86.92%,0,0.00%
17,interno,68.05%,0.83%,61.07%,9.86%,0,0.00%
17,externo,0.08%,0.43%,48.89%,94.75%,0,0.00%
18,interno,47.38%,0.45%,74.48%,24.27%,0,0.00%
18,externo,2.58%,0.25%,39.40%,92.16%,0,0.00%
19,interno,53.13%,1.02%,76.71%,19.55%,0,0.00%
19,externo,0.11%,0.18%,30.43%,93.03%,2,0.03%
20,interno,57.45%,0.73%,60.81%,20.66%,0,0.00%
20,externo,0.11%,0.40%,52.74%,92.97%,0,0.00%
21,interno,61.48%,0.54%,61.41%,13.84%,0,0.00%
21,externo,0.24%,0.29%,33.25%,94.00%,0,0.00%
22,interno,55.08%,0.73%,67.34%,23.13%,0,0.00%
22,externo,0.11%,0.37%,40.39%,94.73%,0,0.00%
23,interno,35.42%,0.43%,85.85%,28.89%,0,0.00%
23,externo,0.17%,0.04%,45.08%,89.46%,0,0.00%
24,interno,28.49%,0.43%,86.68%,20.57%,0,0.00%
24,externo,0.00%,0.04%,62.14%,92.08%,0,0.00%
25,interno,59.23%,0.43%,65.85%,8.35%,0,0.00%
25,externo,0.02%,0.42%,50.57%,93.45%,0,0.00%
26,interno,63.79%,0.38%,59.27%,11.03%,0,0.00%
26,externo,0.42%,0.64%,73.77%,84.35%,0,0.00%
27,interno,48.18%,0.72%,72.37%,17.55%,0,0.00%
27,externo,1.04%,0.43%,36.66%,93.93%,0,0.00%
28,interno,28.98%,0.75%,87.73%,26.36%,0,0.00%
28,externo,0.33%,0.31%,41.45%,92.92%,0,0.00%
29,interno,61.32%,0.80%,60.89%,10.96%,0,0.00%
29,externo,0.01%,0.19%,31.07%,96.93%,0,0.00%
30,interno,62.94%,0.61%,50.64%,17.58%,0,0.00%
30,externo,0.42%,0.24%,53.04%,93.96%,0,0.00%
31,interno,69.75%,0.45%,45.99%,10.00%,0,0.00%
31,externo,0.34%,1.06%,62.45%,89.56%,0,0.00%
32,interno,54.95%,0.55%,62.68%,11.21%,0,0.00%
32,externo,2.19%,0.77%,62.58%,85.18%,0,0.00%
33,interno,60.73%,0.49%,59.34%,12.65%,0,0.00%
33,externo,0.00%,0.25%,45.67%,91.97%,0,0.00%
34,interno,61.77%,0.76%,53.83%,15.48%,0,0.00%
34,externo,0.02%,0.35%,57.85%,93.78%,0,0.00%
35,interno,56.23%,0.64%,71.86%,10.62%,0,0.00%
35,externo,0.14%,0.82%,76.13%,88.94%,0,0.00%
36,interno,26.07%,0.66%,85.90%,35.91%,0,0.00%
