Semente,Porcentagem de branco,Porcentagem de branco leitoso,Porcentagem de vermelho claro,Porcentagem de vermelho escuro
1,81.18%,0.00%,2.10%,0.00%
2,82.47%,0.00%,8.10%,0.00%
3,70.64%,0.00%,33.55%,0.00%
4,88.77%,0.00%,2.84%,0.00%
5,74.38%,0.13%,30.36%,0.00%
6,84.85%,0.00%,2.90%,0.00%
7,19.79%,0.80%,83.17%,0.14%
8,80.31%,0.19%,6.11%,0.00%
9,80.62%,0.02%,22.41%,0.00%
10,83.31%,0.00%,4.81%,0.00%
11,67.56%,1.52%,55.03%,0.22%
12,79.43%,0.02%,30.02%,0.00%
13,84.32%,0.06%,33.99%,0.00%
14,67.82%,0.00%,38.28%,0.00%
15,77.58%,0.04%,19.75%,0.00%
16,83.05%,0.00%,18.83%,0.00%
17,79.56%,0.00%,8.19%,0.00%
18,81.58%,0.02%,10.68%,0.00%
19,87.16%,0.00%,19.58%,0.00%
20,80.16%,0.00%,3.28%,0.00%
21,78.38%,0.00%,2.24%,0.00%
23,88.30%,0.00%,1.47%,0.00%
24,74.66%,0.02%,18.41%,0.00%
25,83.08%,0.00%,17.12%,0.00%
26,79.90%,0.00%,6.42%,0.00%
27,79.89%,0.00%,6.81%,0.00%
28,80.19%,0.02%,14.82%,0.00%
29,78.91%,0.00%,11.31%,0.00%
30,78.81%,0.02%,12.79%,0.00%
31,66.66%,0.46%,34.33%,0.00%
32,57.66%,1.90%,35.62%,0.49%
33,77.64%,0.00%,5.64%,0.00%
34,69.15%,0.08%,17.08%,0.00%
35,66.03%,0.00%,6.36%,0.00%
36,61.63%,0.07%,34.18%,0.00%
37,64.58%,0.02%,29.68%,0.00%
38,74.26%,0.00%,4.11%,0.00%
39,58.39%,0.00%,13.88%,0.00%
40,72.08%,0.27%,7.95%,0.00%
41,67.86%,0.66%,22.86%,0.23%
42,78.43%,0.00%,14.77%,0.00%
43,23.45%,0.84%,64.81%,0.27%
44,49.37%,3.37%,56.56%,1.55%
47,69.79%,0.23%,16.34%,0.00%
48,76.94%,0.00%,5.30%,0.00%
49,77.33%,0.00%,0.77%,0.00%
50,80.55%,0.00%,1.90%,0.00%
