Semente,Lado,Porcentagem de Branco,Porcentagem de Branco Leitoso,Porcentagem de Vermelho Carmim Claro,Porcentagem de Vermelho Carmim Escuro,Quantidade de Buracos,Área Buraco/Área Semente,Classe
1,interno,37.13%,6.95%,4.01%,0.00%,0,0.00%,3.0
1,externo,9.03%,2.86%,38.79%,0.08%,0,0.00%,3.0
2,interno,38.62%,18.36%,3.99%,0.00%,0,0.00%,3.0
2,externo,6.19%,1.58%,39.67%,0.20%,0,0.00%,3.0
3,interno,35.35%,20.21%,10.41%,0.20%,2,2.65%,3.0
3,externo,5.29%,2.29%,38.71%,1.90%,0,0.00%,3.0
4,interno,35.29%,15.95%,3.30%,0.00%,0,0.00%,2.0
4,externo,3.81%,1.22%,40.52%,1.41%,0,0.00%,2.0
5,interno,37.65%,17.73%,5.85%,0.02%,0,0.00%,3.0
5,externo,9.98%,7.37%,41.13%,0.31%,0,0.00%,3.0
6,interno,40.67%,24.96%,7.79%,0.00%,0,0.00%,3.0
6,externo,10.10%,2.74%,39.98%,0.01%,0,0.00%,3.0
7,interno,9.54%,2.33%,36.23%,0.46%,0,0.00%,4.0
7,externo,2.81%,0.87%,33.51%,14.17%,0,0.00%,4.0
8,interno,31.01%,18.22%,6.23%,0.03%,0,0.00%,3.0
8,externo,1.51%,0.96%,39.52%,3.17%,0,0.00%,3.0
9,interno,38.75%,19.99%,9.03%,0.01%,0,0.00%,3.0
9,externo,7.23%,4.39%,38.71%,1.28%,0,0.00%,3.0
10,interno,32.92%,20.89%,4.19%,0.00%,0,0.00%,5.0
10,externo,5.23%,5.46%,32.14%,0.58%,0,0.00%,5.0
11,interno,32.24%,20.65%,23.76%,1.10%,0,0.00%,5.0
11,externo,0.34%,0.03%,24.39%,27.24%,0,0.00%,5.0
12,interno,36.01%,20.87%,10.21%,0.00%,0,0.00%,5.0
12,externo,5.26%,4.00%,37.49%,3.41%,0,0.00%,5.0
13,interno,36.57%,24.67%,10.39%,0.00%,0,0.00%,3.0
13,externo,3.69%,1.99%,39.16%,1.08%,0,0.00%,3.0
14,interno,32.58%,21.50%,16.19%,0.00%,1,0.68%,5.0
14,externo,8.69%,5.77%,39.27%,0.17%,2,1.01%,5.0
15,interno,35.89%,23.83%,6.88%,0.01%,0,0.00%,2.0
15,externo,5.48%,1.97%,37.80%,0.93%,0,0.00%,2.0
16,interno,40.48%,20.83%,9.42%,0.00%,0,0.00%,5.0
16,externo,1.14%,0.11%,39.48%,5.09%,0,0.00%,5.0
17,interno,32.58%,21.68%,7.69%,0.00%,0,0.00%,3.0
17,externo,3.89%,2.09%,32.30%,0.91%,1,0.53%,3.0
18,interno,37.85%,25.09%,6.47%,0.00%,0,0.00%,3.0
18,externo,3.40%,2.33%,42.40%,0.23%,0,0.00%,3.0
19,interno,34.41%,21.33%,7.79%,0.00%,0,0.00%,3.0
19,externo,1.44%,1.44%,40.16%,3.56%,0,0.00%,3.0
20,interno,33.65%,23.00%,5.47%,0.00%,0,0.00%,3.0
20,externo,3.92%,2.36%,37.46%,0.47%,0,0.00%,3.0
21,interno,31.50%,17.46%,2.46%,0.00%,0,0.00%,3.0
21,externo,13.38%,6.94%,33.02%,0.20%,0,0.00%,3.0
22,interno,30.66%,19.24%,5.98%,0.00%,0,0.00%,3.0
22,externo,4.73%,2.50%,37.24%,1.06%,0,0.00%,3.0
23,interno,34.63%,26.13%,2.61%,0.00%,0,0.00%,4.0
23,externo,6.01%,1.50%,33.53%,1.86%,0,0.00%,4.0
24,interno,29.93%,19.38%,16.79%,0.38%,0,0.00%,4.0
24,externo,2.15%,0.52%,31.85%,7.51%,0,0.00%,4.0
25,interno,38.50%,18.44%,6.55%,0.00%,0,0.00%,3.0
25,externo,4.16%,1.43%,39.50%,2.36%,0,0.00%,3.0
26,interno,39.04%,19.48%,4.88%,0.03%,0,0.00%,4.0
26,externo,14.75%,6.24%,38.81%,0.03%,0,0.00%,4.0
27,interno,32.36%,13.77%,5.56%,0.03%,0,0.00%,4.0
27,externo,3.27%,1.19%,40.71%,9.13%,0,0.00%,4.0
28,interno,31.25%,20.02%,5.83%,0.00%,0,0.00%,3.0
28,externo,6.30%,3.88%,38.34%,0.73%,0,0.00%,3.0
29,interno,32.25%,15.83%,4.52%,0.00%,0,0.00%,3.0
29,externo,4.52%,0.46%,37.96%,0.47%,0,0.00%,3.0
30,interno,32.55%,19.00%,6.92%,0.02%,0,0.00%,3.0
30,externo,4.39%,1.03%,40.48%,2.05%,0,0.00%,3.0
31,interno,32.29%,18.06%,14.33%,0.10%,0,0.00%,3.0
31,externo,1.91%,0.02%,32.76%,8.88%,0,0.00%,3.0
32,interno,33.56%,15.02%,7.64%,0.39%,0,0.00%,4.0
32,externo,2.02%,0.55%,33.77%,7.99%,0,0.00%,4.0
33,interno,32.75%,21.32%,7.05%,0.00%,0,0.00%,3.0
33,externo,8.74%,2.91%,40.43%,0.14%,0,0.00%,3.0
34,interno,34.05%,10.92%,6.02%,0.01%,2,0.11%,4.0
34,externo,1.68%,0.18%,42.55%,2.82%,0,0.00%,4.0
35,interno,34.62%,15.47%,5.71%,0.13%,0,0.00%,3.0
35,externo,0.73%,0.21%,34.39%,7.05%,0,0.00%,3.0
36,interno,31.45%,17.12%,8.91%,0.09%,0,0.00%,4.0
36,externo,0.95%,0.12%,33.47%,19.08%,1,0.21%,4.0
37,interno,32.13%,20.91%,8.24%,0.00%,0,0.00%,4.0
37,externo,1.34%,0.85%,36.65%,6.09%,1,0.23%,4.0
38,interno,34.34%,19.14%,5.14%,0.00%,0,0.00%,3.0
38,externo,2.57%,0.09%,39.13%,7.44%,0,0.00%,3.0
39,interno,20.05%,11.92%,8.85%,0.01%,0,0.00%,3.0
39,externo,3.33%,0.25%,33.53%,1.82%,0,0.00%,3.0
40,interno,33.75%,14.15%,3.33%,0.08%,0,0.00%,3.0
40,externo,5.77%,1.45%,36.57%,0.40%,0,0.00%,3.0
41,interno,32.78%,18.74%,6.54%,0.19%,0,0.00%,3.0
41,externo,3.10%,0.22%,33.16%,7.89%,1,0.05%,3.0
