Semente,Porcentagem de branco,Porcentagem de branco leitoso,Porcentagem de vermelho claro,Porcentagem de vermelho escuro
1,83.27%,14.83%,0.78%,0.00%
2,82.47%,37.71%,8.10%,0.00%
3,70.64%,41.93%,33.55%,0.00%
4,88.77%,39.68%,2.84%,0.00%
5,56.51%,33.00%,33.69%,0.14%
6,84.85%,39.60%,2.90%,0.00%
7,21.15%,2.82%,81.52%,0.30%
8,80.31%,38.69%,6.11%,0.00%
9,80.62%,41.11%,22.41%,0.00%
10,78.93%,37.83%,0.34%,0.00%
11,62.85%,37.18%,56.34%,0.65%
12,64.41%,36.11%,39.23%,0.00%
13,84.32%,68.81%,33.99%,0.00%
14,67.82%,44.71%,38.28%,0.00%
15,77.58%,43.14%,19.75%,0.00%
16,83.05%,43.52%,18.83%,0.00%
17,79.56%,50.81%,8.19%,0.00%
18,81.58%,62.61%,10.68%,0.00%
19,87.16%,50.26%,19.58%,0.00%
20,80.16%,58.00%,3.28%,0.00%
21,73.73%,44.39%,0.13%,0.00%
22,75.09%,46.77%,5.85%,0.00%
23,88.30%,57.64%,1.47%,0.00%
24,74.66%,48.43%,18.41%,0.00%
25,83.08%,46.33%,17.12%,0.00%
26,79.90%,43.78%,6.42%,0.00%
27,79.89%,34.81%,6.81%,0.00%
28,80.19%,59.76%,14.82%,0.00%
29,78.91%,37.47%,11.31%,0.00%
30,78.81%,44.60%,12.79%,0.00%
31,66.66%,37.58%,34.33%,0.00%
32,57.66%,29.30%,35.62%,0.49%
33,77.64%,47.19%,5.64%,0.00%
34,69.15%,24.31%,17.08%,0.00%
35,66.03%,21.24%,6.36%,0.00%
36,61.63%,36.49%,34.18%,0.00%
37,2.92%,0.00%,69.75%,24.03%
38,74.26%,53.81%,4.11%,0.00%
39,58.39%,37.95%,13.88%,0.00%
40,72.08%,30.02%,7.95%,0.00%
41,67.86%,45.22%,22.86%,0.23%
42,78.43%,54.67%,14.77%,0.00%
43,23.45%,5.53%,64.81%,0.27%
44,51.00%,22.46%,51.84%,0.73%
45,53.22%,12.35%,57.81%,0.00%
46,71.47%,18.33%,23.26%,0.02%
47,68.97%,30.03%,19.20%,0.00%
48,69.14%,37.79%,1.40%,0.00%
49,77.33%,37.99%,0.77%,0.00%
50,80.55%,45.97%,1.90%,0.00%
